index,latitude,longitude,primary_fuel,energy
2144,-18.7921,-52.8859,Biomass,others
29052,40.9923,-121.9752,Hydro,others
22892,57.2618,-4.4835,Hydro,others
14074,26.6282,79.5286,Gas,others
13660,48.2374,10.9272,Hydro,others
8055,22.7545,115.0426,Coal,others
25382,41.6883,-83.4847,Gas,others
21084,63.55,18.6167,Hydro,others
26285,55.1214,-131.5603,Oil,others
34863,15.7258,107.6512,Hydro,others
3453,-12.7585,-60.1278,Oil,others
5122,42.5611,128.2203,Hydro,others
17348,22.1,-99.1524,Hydro,others
15465,27.5981,88.6505,Hydro,others
5489,39.3828,95.2561,Hydro,others
14713,31.268,76.492,Hydro,others
5799,25.47,116.6617,Hydro,others
7958,34.37,106.77,Hydro,others
21934,25.1498,55.4247,Gas,others
30793,32.401,-111.1262,Gas,others
27244,40.6167,-73.6479,Gas,others
3496,-22.226,-45.9269,Oil,others
5800,27.0982,119.4524,Hydro,others
5012,-35.8503,-71.2806,Hydro,others
11819,48.284,7.678,Hydro,others
23249,52.0568,1.1979,Biomass,others
17662,-22.8138,15.3248,Oil,others
965,23.9797,90.637,Oil,others
28026,43.2597,-70.8597,Hydro,others
18026,62.2462,6.8901,Hydro,others
31415,43.219,-108.7877,Hydro,others
4030,58.3547,-130.256,Hydro,others
29058,32.05,-100.6917,Gas,others
3831,52.0927,-106.8533,Gas,others
7865,32.3694,103.0506,Hydro,others
21914,48.872,37.7657,Coal,others
23630,56.2012,-3.1623,Cogeneration,others
4426,49.7408,-68.5945,Hydro,others
478,-32.4598,151.1286,Gas,others
2230,-21.5285,-48.3655,Biomass,others
30969,28.3661,-80.7947,Gas,others
32250,46.5063,-84.3493,Hydro,others
33494,41.9169,-87.8456,Gas,others
31150,45.4144,-123.8042,Biomass,others
17829,9.138,4.7883,Hydro,others
15660,-7.2173,107.7394,Geothermal,others
17466,20.927,-89.6878,Oil,others
2432,-2.6219,-60.2502,Oil,others
16142,46.6487,11.0051,Hydro,others
23631,51.8101,-2.282,Biomass,others
2538,-17.2743,-50.1395,Biomass,others
19159,44.8802,25.9988,Gas,others
4398,48.7319,-69.1706,Hydro,others
21027,19.6158,37.2164,Oil,others
7528,22.4818,113.872,Coal,others
4257,46.9872,-70.5492,Hydro,others
30919,42.387,-71.8025,Hydro,others
20999,6.9778,80.4567,Hydro,others
22293,53.5423,-0.5096,Biomass,others
5155,29.5856,107.5165,Coal,others
12576,51.9201,11.8018,Biomass,others
2524,-12.8324,-38.408,Oil,others
22958,54.941,-3.9278,Hydro,others
28570,39.9528,-85.5039,Gas,others
31098,40.7117,-74.3542,Oil,others
13109,48.5797,13.4083,Hydro,others
31975,45.0203,-93.2753,Gas,others
2959,-17.8508,-40.3106,Hydro,others
9,34.5865,69.7757,Hydro,others
30370,40.9126,-73.7878,Oil,others
18127,69.3729,29.694,Hydro,others
32513,29.7232,-95.1289,Gas,others
16938,33.534,133.5575,Coal,others
32006,41.9247,-88.9986,Waste,others
4201,63.654,-135.9155,Hydro,others
26509,43.4405,-71.596,Hydro,others
16731,35.0659,136.8778,Coal,others
8276,31.58,103.2,Hydro,others
32026,42.9767,-89.0492,Gas,others
4554,50.2842,-122.9776,Hydro,others
16541,37.666,141.0165,Coal,others
17702,53.4441,6.856,Gas,others
31515,43.7644,-71.6881,Oil,others
3567,-2.89,29.12,Hydro,others
34536,37.4325,-121.9528,Biomass,others
3989,42.7701,-82.4528,Gas,others
27157,37.3767,-121.9508,Gas,others
24894,34.8158,-118.6867,Hydro,others
19046,38.4916,-8.8113,Biomass,others
17093,28.7072,48.3742,Gas,others
2742,-17.6103,-54.8269,Hydro,others
27886,44.3681,-100.3808,Oil,others
2823,-18.8944,-44.7817,Hydro,others
17619,32.2065,-6.531,Hydro,others
33868,44.6253,-72.5309,Hydro,others
17230,4.3908,100.5894,Gas,others
20935,42.3589,-7.851,Hydro,others
7559,44.6571,129.6504,Coal,others
29053,35.22,-81.7594,Coal,others
28048,33.965,-83.7656,Waste,others
19428,66.9441,88.3384,Hydro,others
4066,48.6987,-71.2125,Hydro,others
24106,51.7626,0.0094,Gas,others
34810,21.5001,104.0908,Hydro,others
1852,-21.3973,-49.884,Biomass,others
24912,46.1584,-123.406,Gas,others
31428,34.2212,-91.9074,Biomass,others
11628,47.5675,5.9482,Biomass,others
222,-31.3934,-64.2059,Gas,others
31910,34.103,-80.7905,Waste,others
17307,31.3314,-106.486,Oil,others
20211,40.419,-2.9226,Hydro,others
17770,-37.9243,175.5393,Hydro,others
16131,43.1369,10.8292,Geothermal,others
32564,47.7172,-104.1356,Coal,others
31937,36.6889,-119.7232,Waste,others
32562,40.2792,-84.191,Oil,others
11094,48.6213,-1.1828,Biomass,others
14485,22.8618,78.8648,Coal,others
33950,38.9917,-84.2981,Storage,others
4815,-32.9331,-71.4742,Oil,others
453,-20.7837,139.4833,Gas,others
18863,41.6587,-7.9797,Hydro,others
30574,40.7396,-73.9761,Oil,others
5268,41.8275,124.0455,Coal,others
8120,42.4112,93.0092,Coal,others
12465,42.3202,42.704,Hydro,others
424,-42.5064,146.6812,Hydro,others
805,-37.583,145.0487,Waste,others
17891,58.4068,7.5282,Hydro,others
16374,45.0265,11.2522,Gas,others
7606,36.06,101.27,Hydro,others
4219,45.263,-72.1435,Hydro,others
28680,38.0327,-102.0737,Oil,others
19099,24.9753,51.5783,Gas,others
26827,43.2719,-82.6139,Oil,others
1238,-27.4547,-48.9828,Hydro,others
1853,-11.4661,-46.8189,Hydro,others
10292,42.777,1.677,Hydro,others
1993,-7.9077,-34.8933,Oil,others
23196,53.6842,-2.2947,Waste,others
8831,31.893,121.2093,Coal,others
26158,46.649,-111.7279,Hydro,others
22025,51.8813,-1.2304,Waste,others
8977,31.3929,119.8291,Coal,others
29273,37.0131,-88.2692,Hydro,others
30812,40.6917,-75.4792,Coal,others
881,46.9271,10.0539,Hydro,others
5076,31.4837,103.6032,Hydro,others
1184,-9.4938,-40.3564,Biomass,others
28109,44.0006,-75.9612,Hydro,others
34779,16.4601,107.4233,Hydro,others
952,22.6588,90.3373,Gas,others
4034,47.4532,-53.0976,Oil,others
8115,39.2226,110.4066,Coal,others
17808,12.1581,-86.3107,Gas,others
26084,35.4923,-83.9806,Hydro,others
4077,48.3975,-89.6165,Hydro,others
21965,52.8543,-2.8986,Biomass,others
8794,43.7064,94.9858,Coal,others
8230,28.8808,102.563,Hydro,others
2592,-12.6522,-38.4549,Oil,others
1301,-23.5252,-46.5762,Oil,others
28037,41.5092,-83.3606,Oil,others
21979,56.7839,-4.7711,Hydro,others
2064,-16.4028,-48.9282,Oil,others
17511,25.7969,-97.7828,Gas,others
3136,-22.5608,-45.5386,Hydro,others
9336,-4.3012,15.2067,Hydro,others
29453,34.4341,-92.9049,Gas,others
12802,51.0574,6.5771,Coal,others
28777,44.8957,-94.3684,Gas,others
29221,36.4651,-118.862,Hydro,others
961,24.6863,91.9189,Gas,others
27430,41.4388,-88.1236,Gas,others
11669,45.0405,5.9651,Hydro,others
19401,58.6216,49.6716,Gas,others
2044,-22.501,-43.1695,Gas,others
8172,33.0399,108.2249,Hydro,others
26799,42.8056,-73.7226,Hydro,others
21707,38.1602,41.2026,Hydro,others
17946,58.6299,8.6888,Hydro,others
31144,40.4145,-85.0255,Gas,others
29386,42.9457,-114.7957,Hydro,others
28366,33.6652,-117.7682,Storage,others
5452,37.9897,105.9258,Coal,others
2127,-12.8694,-38.5052,Oil,others
21487,14.0977,100.5727,Gas,others
10657,43.878,6.538,Hydro,others
25372,40.2603,-82.8331,Storage,others
8094,37.45,105.02,Hydro,others
11916,43.602,6.841,Hydro,others
17779,-38.408,176.0886,Hydro,others
10930,49.4937,-1.3081,Biomass,others
30871,40.7549,-73.9832,Gas,others
1138,44.4279,17.2404,Hydro,others
17245,2.533,101.7912,Gas,others
3910,46.2691,-81.7672,Biomass,others
21976,51.3873,-3.4049,Coal,others
12462,42.2629,42.9582,Hydro,others
18629,38.937,-9.2859,Waste,others
10169,63.8333,23.0333,Biomass,others
32296,34.3128,-118.4928,Hydro,others
28224,30.556,-98.3384,Hydro,others
619,-33.2117,151.5418,Coal,others
4850,-33.6031,-70.3597,Hydro,others
31198,26.7714,-80.1419,Waste,others
17414,18.7742,-96.7785,Biomass,others
7859,25.6618,104.0667,Coal,others
14478,24.772,87.894,Coal,others
33007,39.5475,-118.5556,Geothermal,others
6726,30.36,109.7261,Hydro,others
21662,34.9054,8.5408,Gas,others
24928,40.5453,-79.7686,Gas,others
19848,1.2843,103.725,Gas,others
8092,30.2269,120.7176,Coal,others
8299,26.5489,101.4319,Hydro,others
30595,35.4189,-80.0917,Hydro,others
32426,30.3225,-95.2681,Waste,others
19275,69.3051,139.9745,Gas,others
1220,-19.245,-52.8994,Hydro,others
24315,51.5072,-3.6713,Biomass,others
34446,30.7483,-94.4375,Waste,others
16318,45.0543,9.7086,Gas,others
20108,37.9445,127.8115,Hydro,others
5588,34.8684,116.9414,Coal,others
12306,45.4242,1.5653,Hydro,others
31552,46.1789,-123.1719,Gas,others
29867,42.0019,-87.8522,Gas,others
14054,24.7663,74.609,Coal,others
25134,41.9221,-91.6875,Coal,others
1102,27.2162,91.2035,Hydro,others
20058,38.1174,127.7785,Hydro,others
30322,43.2094,-78.9836,Waste,others
34716,11.8529,108.6058,Hydro,others
13080,51.8344,14.459,Coal,others
15032,21.4504,76.4014,Coal,others
1947,-10.9071,-37.0622,Oil,others
16849,37.3448,139.9087,Hydro,others
3675,44.2271,-78.2873,Biomass,others
18750,40.2878,-8.4725,Waste,others
29922,37.2203,-119.338,Hydro,others
474,-28.7701,114.6485,Gas,others
17515,24.8163,-107.1513,Hydro,others
10442,45.4357,5.9806,Hydro,others
1109,-17.2125,-64.5275,Gas,others
28667,37.5035,-79.3006,Hydro,others
19882,49.1275,18.3642,Hydro,others
33319,40.9097,-96.6131,Gas,others
6703,28.7166,104.5543,Coal,others
8306,32.37,104.91,Hydro,others
19155,45.166,27.9235,Gas,others
30412,32.3358,-100.9156,Gas,others
7731,39.4726,112.3225,Coal,others
10022,31.3822,31.7196,Gas,others
4918,-32.8665,-70.408,Hydro,others
18454,50.3019,19.1384,Coal,others
2732,-22.148,-42.41,Oil,others
14735,16.2651,75.5302,Biomass,others
4863,-33.6598,-70.7125,Oil,others
32467,33.9486,-85.2769,Gas,others
93,-38.9368,-68.3556,Other,others
10599,45.215,6.712,Hydro,others
29517,43.72,-91.9777,Oil,others
17883,68.0662,17.7754,Hydro,others
22625,56.4112,-5.1135,Hydro,others
30350,34.9733,-80.54,Oil,others
30819,41.9811,-87.7192,Gas,others
4726,44.4075,-65.9491,Hydro,others
32579,36.8791,-89.6209,Coal,others
25695,42.2086,-72.6014,Hydro,others
14936,25.2354,92.2279,Hydro,others
20366,43.3048,-8.5075,Gas,others
28076,38.7497,-85.035,Coal,others
19403,58.5495,49.5833,Coal,others
13724,53.0611,8.8649,Hydro,others
1760,-23.3652,-52.7003,Biomass,others
24219,52.999,-0.3827,Biomass,others
3082,-26.9147,-49.0571,Oil,others
20159,41.2008,0.5679,Nuclear,others
19407,66.8638,32.376,Hydro,others
17410,21.9861,-98.9587,Biomass,others
22510,53.5207,-2.3146,Waste,others
2928,-19.1156,-42.7186,Hydro,others
27264,39.2944,-118.5725,Geothermal,others
4154,48.4008,-53.3786,Hydro,others
27259,32.7471,-100.9547,Gas,others
32920,44.4611,-93.1808,Oil,others
20893,42.4143,-7.6533,Hydro,others
13626,51.4507,14.1121,Waste,others
33519,39.667,-117.6937,Geothermal,others
28871,43.5608,-71.7806,Waste,others
31992,40.8821,-121.9484,Hydro,others
27472,37.3885,-121.889,Gas,others
31022,37.3321,-79.5111,Oil,others
33466,40.55,-112.0631,Waste,others
20835,39.037,-5.2342,Hydro,others
34180,42.28,-85.6064,Gas,others
29310,30.7377,-88.0498,Gas,others
33508,34.7133,-83.3519,Hydro,others
34621,40.449,71.782,Oil,others
31895,45.6394,-89.4205,Gas,others
6903,27.5167,101.0333,Hydro,others
8700,24.554,117.932,Gas,others
30345,41.4872,-97.6078,Hydro,others
12817,52.6235,10.2457,Gas,others
5896,34.4669,103.8311,Hydro,others
18961,41.6917,-8.0912,Hydro,others
5567,34.431,108.8997,Coal,others
2891,-25.4349,-49.258,Oil,others
991,24.3884,89.7436,Gas,others
26178,43.8342,-85.3558,Gas,others
1632,-29.0167,-50.7167,Hydro,others
26039,40.412,-78.855,Gas,others
18048,59.5118,6.5846,Hydro,others
15815,-6.9039,107.6186,Hydro,others
5796,27.556,118.384,Hydro,others
8956,27.4367,104.0222,Hydro,others
30132,45.1069,-87.6378,Hydro,others
29387,64.9321,-161.1671,Oil,others
27007,44.2908,-96.5267,Gas,others
3148,-24.7331,-53.8928,Hydro,others
