index,latitude,longitude,primary_fuel
22079,51.5996,-1.7429,Solar
22080,53.7709,-2.5782,Solar
22082,51.3202,0.4816,Solar
22083,51.7328,-1.1947,Solar
22086,52.0486,0.9444,Solar
22091,51.6094,-3.8295,Solar
22094,51.0483,-1.8335,Solar
22056,52.6131,-1.559,Solar
22095,50.7644,-0.7931,Solar
22100,54.5181,-6.0994,Solar
22101,54.5132,-6.0883,Solar
22102,50.3497,-4.037,Solar
22103,54.5716,-5.5692,Solar
22104,54.8839,-6.2536,Solar
22113,54.9592,-6.5147,Solar
22114,54.9985,-6.4404,Solar
22117,51.1147,-0.9782,Solar
22121,51.9392,1.1364,Solar
22122,53.3564,-0.9954,Solar
22099,56.143,-3.712,Solar
22464,52.3522,1.4737,Solar
22469,52.3027,-0.5253,Solar
22470,52.3021,-0.5196,Solar
22845,52.312,0.222,Solar
22847,51.8195,-4.9189,Solar
22851,52.9075,-4.334,Solar
22855,51.725,-4.2386,Solar
22858,51.0087,-1.3915,Solar
22859,52.9957,-2.7248,Solar
22860,50.6772,-1.2454,Solar
22862,53.2439,-0.4287,Solar
22864,51.055,-0.441,Solar
22865,53.9091,-3.0187,Solar
22867,53.256,-3.1392,Solar
22868,53.6201,-0.6947,Solar
22870,51.8395,-0.7395,Solar
22872,50.9428,-0.3223,Solar
22873,50.4796,-4.3783,Solar
22875,50.9429,-1.2027,Solar
22876,52.2794,0.3914,Solar
22877,54.5058,-6.1863,Solar
22879,50.8474,-0.7433,Solar
22882,52.9961,-0.5975,Solar
22884,50.29,-5.146,Solar
22844,52.9658,-0.0717,Solar
22843,53.4233,0.069,Solar
22840,53.7915,-2.6236,Solar
22839,53.7918,-2.6203,Solar
22768,51.3105,1.3389,Solar
22769,52.9001,-3.0152,Solar
22771,52.4584,-0.843,Solar
22781,51.9245,-0.6115,Solar
22783,53.2113,-0.8798,Solar
22787,50.8309,-3.7844,Solar
22789,52.434,1.6055,Solar
22790,52.4388,1.6059,Solar
22791,51.6051,-1.4003,Solar
22793,52.9481,-0.8477,Solar
22886,50.2917,-5.1392,Solar
22794,54.7005,-1.2898,Solar
22804,53.0152,-0.5214,Solar
22805,50.4118,-4.1823,Solar
22806,56.3677,-3.2771,Solar
22811,51.1076,-1.5302,Solar
22816,52.2502,0.3486,Solar
22818,51.794,-1.4264,Solar
22821,51.455,-0.695,Solar
22825,51.5641,0.3896,Solar
22828,51.6202,0.6974,Solar
22829,54.0521,-2.8783,Solar
22803,52.0665,-1.4658,Solar
22767,51.3157,1.3458,Solar
22887,50.3039,-5.1383,Solar
22890,50.8024,-4.2937,Solar
22982,51.9558,0.5797,Solar
22983,50.2887,-5.1967,Solar
22988,51.2667,1.2312,Solar
22990,50.711,-4.4233,Solar
22991,50.7131,-1.26,Solar
22992,51.5397,-2.5227,Solar
22993,52.746,0.0509,Solar
22994,51.0059,-3.2219,Solar
22996,53.0282,-0.8145,Solar
22998,52.9712,-0.7225,Solar
23001,52.7091,-2.4123,Solar
23003,51.3797,-1.1932,Solar
23009,50.7326,-3.3512,Solar
23010,50.8042,-4.3769,Solar
23013,51.8502,-0.6484,Solar
23014,52.1845,0.2699,Solar
23018,54.2859,-2.6851,Solar
23019,54.8476,-1.7367,Solar
23020,51.9119,1.1535,Solar
23040,51.0766,-3.2622,Solar
23041,50.9636,-1.479,Solar
22975,51.633,-1.3488,Solar
22974,51.6359,-1.3569,Solar
22973,51.636,-1.355,Solar
22972,50.0465,-5.218,Solar
22895,50.7668,-3.4657,Solar
22899,52.7984,1.3979,Solar
22900,50.83,-2.561,Solar
22901,51.2142,-1.0694,Solar
22903,51.1558,-1.4581,Solar
22906,52.8095,-1.0875,Solar
22913,50.6699,-2.3064,Solar
22918,51.4537,-3.3886,Solar
22922,50.2897,-5.1207,Solar
22923,52.4488,-0.7982,Solar
22889,52.0467,1.2846,Solar
22925,51.9885,-1.005,Solar
22930,52.9348,-4.354,Solar
22933,51.8106,-0.7338,Solar
22934,51.8274,-0.7363,Solar
22935,54.4105,-6.4131,Solar
22946,52.251,-0.586,Solar
22947,52.2526,-0.5893,Solar
22963,53.4551,-2.0585,Solar
22965,51.6849,-4.9078,Solar
22966,50.8739,-2.9058,Solar
22967,53.5295,-1.3165,Solar
22928,52.9902,-1.083,Solar
22762,50.773,-4.3353,Solar
22760,52.8505,-1.3576,Solar
22758,51.2274,0.7119,Solar
22525,51.3315,-2.224,Solar
22529,54.1698,-1.3156,Solar
22534,51.0534,-4.1253,Solar
22536,52.4056,-0.5611,Solar
22538,52.7551,1.3569,Solar
22540,52.9994,-2.5962,Solar
22542,51.5353,-1.8036,Solar
22544,52.6569,-2.7298,Solar
22545,52.6327,-2.7301,Solar
22546,51.3501,-2.8246,Solar
22553,50.6582,-3.3934,Solar
22554,50.386,-3.7664,Solar
22555,53.7664,-2.8762,Solar
22556,53.0222,-0.7353,Solar
22561,51.4796,-3.5305,Solar
22568,52.918,-1.05,Solar
22569,52.7585,-1.5977,Solar
22576,51.5227,-3.6187,Solar
22577,51.6011,-2.8787,Solar
22580,51.1961,-1.4601,Solar
22589,52.0672,-0.612,Solar
22524,51.637,-4.013,Solar
22523,51.1124,-3.0371,Solar
22513,53.7497,-2.8319,Solar
22512,53.7511,-2.8259,Solar
22471,52.305,-0.53,Solar
22472,52.3041,-0.5286,Solar
22475,51.3484,-2.5157,Solar
22476,51.6276,-1.8876,Solar
22477,53.2373,-1.3425,Solar
22478,50.9235,-4.4863,Solar
22480,50.9945,-2.6027,Solar
22485,51.8285,1.1847,Solar
22486,51.8219,1.0873,Solar
22487,52.3152,0.2177,Solar
22591,51.5587,0.2827,Solar
22488,52.3181,0.2211,Solar
22491,51.8718,-0.6326,Solar
22493,50.3045,-5.0815,Solar
22497,50.4408,-4.7776,Solar
22498,52.1767,-0.4844,Solar
22499,51.0567,-2.3472,Solar
22502,51.7708,-4.038,Solar
22503,51.9874,-0.4818,Solar
22504,52.745,0.7758,Solar
22505,51.5617,-3.0894,Solar
22507,51.0039,-4.1408,Solar
22490,50.7555,-1.7502,Solar
22592,50.7599,-3.4048,Solar
22593,51.2091,-2.5784,Solar
22594,50.3332,-3.9763,Solar
22667,53.0276,-0.3991,Solar
22675,50.9351,0.9099,Solar
22680,50.8026,-4.3678,Solar
22683,52.64,-1.2586,Solar
22690,50.944,-2.893,Solar
22702,50.7504,-2.1031,Solar
22710,52.7742,-1.6535,Solar
22711,51.8562,0.4983,Solar
22714,52.2003,-1.7751,Solar
22732,50.8645,-3.227,Solar
22665,50.8291,-0.692,Solar
22736,54.681,-6.231,Solar
22739,51.6676,-4.0897,Solar
22740,50.7099,-1.3664,Solar
22744,54.5409,-1.3552,Solar
22745,53.1547,-1.014,Solar
22751,54.1482,-1.2324,Solar
22752,54.3569,-1.6374,Solar
22753,54.79,-4.445,Solar
22755,50.7106,-1.1375,Solar
22756,51.1783,-2.0196,Solar
22757,50.8701,-4.4271,Solar
22737,51.1193,-0.5448,Solar
21905,44.958,33.923,Solar
22663,52.698,-0.1329,Solar
22654,53.3224,-0.6975,Solar
22595,50.7956,-4.5451,Solar
22597,51.8408,0.6011,Solar
22598,53.2558,-1.2074,Solar
22608,50.8423,-4.0951,Solar
22612,54.6707,-6.1985,Solar
22614,50.9069,-1.8404,Solar
22615,51.508,0.1377,Solar
22618,50.7,-2.3243,Solar
22619,53.1073,-1.2991,Solar
22621,52.6637,-1.369,Solar
22655,53.3224,-0.6975,Solar
22622,52.1285,-0.0797,Solar
22627,52.0918,-4.6206,Solar
22628,51.8236,-4.9284,Solar
22634,51.8099,-5.0074,Solar
22638,50.9261,-3.128,Solar
22639,52.1095,-1.2047,Solar
22643,51.4162,-3.3144,Solar
22644,51.6351,-3.1698,Solar
22645,51.6214,-3.0794,Solar
22646,52.5068,-2.009,Solar
22650,54.6538,-6.7392,Solar
22626,51.7241,-1.9132,Solar
21904,44.958,33.923,Solar
21903,44.958,33.923,Solar
21902,44.958,33.923,Solar
20892,39.431,-2.416,Solar
20894,36.661,-5.851,Solar
20895,37.444,-6.258,Solar
20896,37.452,-6.251,Solar
20897,41.801,-0.083,Solar
20898,41.4918,1.9016,Solar
20899,37.644,-4.59,Solar
20900,37.958,-4.503,Solar
20901,28.0684,-16.525,Solar
20902,28.0684,-16.525,Solar
20903,28.0724,-16.5252,Solar
20910,39.1933,-5.5779,Solar
20911,39.1933,-5.5779,Solar
20912,41.5334,0.8095,Solar
20924,40.0208,-5.579,Solar
20925,41.5062,-5.0275,Solar
20926,37.766,-1.723,Solar
20927,37.769,-1.698,Solar
20928,37.756,-1.702,Solar
20929,37.756,-1.702,Solar
20930,37.092,-5.875,Solar
20891,41.0277,-5.85,Solar
20890,39.918,-2.822,Solar
20888,38.89,-6.285,Solar
20884,37.6522,-5.2722,Solar
20820,38.755,-7.145,Solar
20828,37.0066,-6.0434,Solar
20829,37.6485,-5.26,Solar
20830,37.9582,-4.4981,Solar
20834,38.2793,-1.601,Solar
20838,37.648,-5.254,Solar
20839,37.648,-5.254,Solar
20840,41.467,-5.821,Solar
20841,39.03,-4.02,Solar
20842,39.03,-4.02,Solar
20931,39.46,-5.95,Solar
20843,41.0536,-5.4377,Solar
20845,41.3286,-4.8212,Solar
20846,38.7167,-1.8857,Solar
20847,38.7218,-1.881,Solar
20848,39.632,-3.09,Solar
20849,38.62,-3.974,Solar
20851,37.962,-4.481,Solar
20858,41.239,0.5336,Solar
20859,39.4751,-1.1546,Solar
20860,36.695,-6.284,Solar
20883,39.226,-5.3905,Solar
20844,41.712,-1.249,Solar
20819,37.4422,-6.2542,Solar
20942,39.2919,-5.2111,Solar
20944,36.955,-2.435,Solar
21410,23.58,120.2,Solar
21421,24.205,120.618,Solar
21453,13.8283,100.6798,Solar
21455,11.425,99.565,Solar
21456,14.5894,100.4761,Solar
21459,15.4211,101.6985,Solar
21460,15.445,101.7882,Solar
21461,16.0488,100.7428,Solar
21462,14.4418,100.481,Solar
21466,14.3215,100.3025,Solar
21467,14.169,100.553,Solar
21468,14.1691,100.5528,Solar
21470,13.964,101.833,Solar
21472,14.6592,102.6147,Solar
21473,14.6996,102.4787,Solar
21474,14.7615,103.0633,Solar
21477,13.5758,101.003,Solar
21478,14.5396,101.0783,Solar
21480,14.849,99.809,Solar
21481,20.1684,100.0202,Solar
21482,14.3552,99.4692,Solar
21394,24.101,120.391,Solar
21309,47.3086,7.7847,Solar
21240,47.41,7.13,Solar
21032,5.089,-55.2552,Solar
20945,42.1388,-1.6824,Solar
20946,42.1388,-1.6824,Solar
20947,41.0583,-5.782,Solar
20948,36.2447,-6.008,Solar
20949,42.0471,-5.699,Solar
20950,42.268,-1.685,Solar
20951,42.271,-1.692,Solar
20952,42.2475,-3.973,Solar
20953,38.964,-5.771,Solar
20954,39.4393,-1.9246,Solar
20943,39.2768,-5.22,Solar
20955,39.8331,-2.5712,Solar
20957,41.307,-0.605,Solar
20959,38.5924,-1.0558,Solar
20960,41.6428,-4.8151,Solar
20961,39.871,-6.832,Solar
20962,41.934,-0.805,Solar
20963,41.944,-0.818,Solar
20964,38.942,-5.875,Solar
20973,6.2312,81.0853,Solar
20975,6.23,81.08,Solar
20998,6.232,81.087,Solar
20956,39.6914,-3.9545,Solar
20818,37.4179,-6.2771,Solar
20817,37.4166,-6.2736,Solar
20816,37.5729,-5.1449,Solar
20358,37.685,-1.174,Solar
20359,37.685,-1.174,Solar
20360,37.684,-1.179,Solar
20361,37.69,-1.162,Solar
20362,42.063,-4.498,Solar
20363,42.0309,-1.4775,Solar
20376,37.562,-5.332,Solar
20377,41.755,-1.175,Solar
20378,38.803,-6.83,Solar
20379,36.195,-5.416,Solar
20381,39.2385,-3.4749,Solar
20384,38.5891,-1.7906,Solar
20385,37.685,-1.533,Solar
20386,37.268,-6.417,Solar
20387,38.474,-6.232,Solar
20388,38.364,-1.277,Solar
20391,38.645,-3.973,Solar
20392,39.438,-1.709,Solar
20393,37.1488,-6.1452,Solar
20396,36.7076,-6.2309,Solar
20397,38.9287,-0.5115,Solar
20357,37.7539,-5.0429,Solar
20356,42.4704,-2.6076,Solar
20355,40.9178,-4.97,Solar
20354,41.99,-1.566,Solar
20303,39.4628,-6.3061,Solar
