maxrad,minrad,meanrad,maxdur,mindur,meandur,maxwind,minwind,meanwind,elevation,energy
24.06,7.02,17.72,41950.45,4444.87,32256.44,21.74,13.89,17.63,525.0,solar
22.11,5.51,14.4,44625.46,15684.98,28144.64,17.09,4.27,11.52,426.0,solar
24.1,13.2,19.23,40441.09,12857.03,32895.39,25.05,14.56,17.08,371.0,solar
23.85,9.32,18.19,40876.25,4743.84,31928.09,17.86,10.49,15.2,30.0,solar
23.51,7.66,17.64,40392.39,253.8,30942.19,14.5,7.64,11.25,36.0,solar
30.63,10.14,20.91,48444.4,27283.35,38352.59,27.67,11.24,20.0,739.0,solar
24.03,5.16,15.45,46061.84,15990.88,31932.69,31.14,18.41,24.07,328.0,solar
24.04,8.13,14.92,45239.68,24286.09,29845.37,16.1,7.9,11.82,353.0,solar
23.58,5.76,14.88,43521.9,15470.43,30167.39,22.23,13.42,18.44,76.0,solar
30.03,11.28,21.34,46815.52,30884.15,39028.58,36.0,19.27,26.24,812.0,solar
21.2,5.76,13.55,37519.76,17630.63,27484.86,25.9,5.78,18.12,61.0,solar
24.53,15.39,19.93,41229.28,26539.62,35066.37,26.22,11.69,16.93,135.0,solar
23.12,11.25,17.36,40964.27,21356.32,33960.84,18.44,8.8,13.83,189.0,solar
26.42,8.48,15.84,45898.03,20891.53,29465.05,14.32,7.76,11.62,162.0,solar
28.44,10.9,20.26,45977.25,27642.76,38017.93,17.09,10.89,14.45,214.0,solar
23.62,5.92,16.07,43284.37,13559.04,31739.31,24.73,13.66,19.8,215.0,solar
30.89,9.93,20.89,48485.42,25769.37,37952.46,24.71,11.33,18.46,833.0,solar
26.27,6.1,16.73,48026.31,20512.33,35129.33,16.39,7.17,11.36,73.0,solar
22.97,4.93,14.28,42355.53,13328.98,28299.58,24.62,12.51,19.5,346.0,solar
20.88,1.91,11.16,46208.39,8447.7,25624.78,32.55,18.37,24.27,34.0,solar
31.26,10.24,21.59,48683.63,27041.91,38882.95,16.04,9.49,12.07,1129.0,solar
20.98,1.52,10.59,43402.55,6692.74,24275.51,35.49,18.05,25.59,53.0,solar
21.36,1.95,11.7,46621.12,8129.15,26587.6,36.35,18.46,26.33,60.0,solar
22.07,1.9,11.32,45261.87,8119.66,25587.67,35.71,18.39,25.83,126.0,solar
22.63,8.6,14.89,45090.13,24419.99,29957.0,16.53,6.64,12.36,205.0,solar
19.59,5.89,13.67,34419.27,21607.69,28726.97,26.07,18.62,22.51,5.0,solar
20.88,1.81,10.68,44582.57,8592.25,23868.45,32.11,18.19,23.81,98.0,solar
24.64,8.5,17.18,44045.98,22872.96,33401.75,22.78,13.69,17.61,259.0,solar
24.36,12.53,18.32,40730.88,9062.37,31725.13,18.9,10.48,13.51,87.0,solar
24.81,6.29,15.2,44973.76,16195.3,30487.72,25.31,17.7,21.08,19.0,solar
25.41,18.73,21.43,41067.43,30169.59,36618.97,30.58,16.23,23.1,37.0,solar
27.24,9.18,18.76,47452.4,24977.26,37053.98,22.3,11.07,15.46,141.0,solar
24.16,13.42,19.36,41690.25,15509.87,33923.41,35.76,12.4,19.28,810.0,solar
23.89,14.22,18.49,41008.3,16355.56,32201.65,20.22,10.19,14.5,5.0,solar
25.11,4.57,14.89,48067.66,15383.74,32025.9,15.32,8.8,12.76,8.0,solar
23.85,8.85,15.42,43306.28,22766.53,29773.37,19.01,6.22,14.95,506.0,solar
25.48,7.31,16.27,46693.62,20272.01,32141.91,24.52,17.24,20.63,11.0,solar
23.03,4.96,15.1,42833.88,15676.38,31120.07,27.42,16.92,21.84,275.0,solar
24.35,6.09,15.17,44163.63,16529.25,29961.32,23.22,14.36,18.95,9.0,solar
25.76,8.78,15.82,45971.0,21691.44,30233.1,20.82,7.44,16.74,4.0,solar
30.64,12.83,21.87,44818.85,32188.53,38708.8,27.64,21.62,24.97,941.0,solar
21.98,1.79,11.16,46462.84,8281.36,25399.82,36.54,19.02,26.44,98.0,solar
29.44,10.81,20.57,46903.92,29447.79,38468.95,11.42,7.59,10.0,-198.0,solar
23.15,5.17,14.8,44146.33,15469.94,30195.06,21.87,12.5,17.62,211.0,solar
25.32,15.05,19.86,41154.21,21269.5,34158.83,33.11,16.21,21.17,240.0,solar
25.89,8.88,17.55,45468.17,20787.36,33381.96,24.75,14.41,18.86,136.0,solar
27.58,7.55,17.72,44987.5,23821.16,34614.88,23.62,15.93,18.72,8.0,solar
24.5,9.52,17.84,43961.33,23398.84,34215.7,24.82,15.21,20.08,78.0,solar
25.67,6.49,16.13,48544.98,22750.68,35253.37,18.22,10.24,13.55,124.0,solar
24.59,7.67,15.61,46170.05,19790.2,29163.08,21.52,11.54,18.04,4.0,solar
23.97,9.47,17.35,44295.75,24180.76,33451.87,23.5,16.3,19.61,23.0,solar
24.8,5.45,15.37,48073.55,15137.18,30598.41,24.27,10.65,19.89,266.0,solar
26.68,8.83,18.45,47564.85,26538.21,37087.41,16.5,8.71,12.63,6.0,solar
21.38,1.82,11.06,45636.96,8684.84,25538.76,35.88,18.92,26.57,96.0,solar
22.95,2.38,12.58,45325.77,10751.04,28765.47,38.08,19.8,27.63,50.0,solar
26.69,6.46,17.15,47963.04,23281.28,35916.83,21.26,11.74,16.43,158.0,solar
23.82,9.02,15.5,46768.03,18532.49,29650.98,18.3,9.49,14.86,102.0,solar
23.07,5.7,14.6,40661.25,15975.51,29306.33,24.22,16.51,20.33,256.0,solar
23.49,5.82,14.68,41491.48,16246.61,29211.24,24.15,18.44,20.63,80.0,solar
27.28,4.02,16.36,49623.13,13662.65,34289.91,26.86,12.3,20.58,91.0,solar
21.46,1.9,11.2,46794.2,8787.03,25902.06,33.42,18.32,24.86,66.0,solar
21.68,1.89,11.56,46169.9,8277.05,26784.09,36.19,18.89,26.34,73.0,solar
23.52,5.33,14.58,42630.51,14073.3,29299.89,27.71,17.23,22.46,476.0,solar
23.21,3.42,13.71,43455.57,9469.36,26993.41,22.37,11.98,17.8,132.0,solar
24.5,6.22,15.23,45067.6,16655.66,30443.35,23.83,15.38,19.59,39.0,solar
