maxrad,minrad,meanrad,maxdur,mindur,meandur,maxwind,minwind,meanwind,elevation,energy
26.69,6.46,17.15,47963.04,23281.28,35916.83,21.26,11.74,16.43,158.0,solar
21.25,2.32,11.77,44989.04,9557.96,26042.0,39.51,22.94,29.14,91.0,solar
16.85,1.41,9.64,34514.37,7376.63,22684.34,33.57,20.33,26.04,100.0,solar
22.75,12.75,18.13,39385.59,25887.34,33975.14,19.93,10.8,15.5,197.0,solar
27.95,8.13,18.49,46800.0,23304.54,35935.8,21.24,13.57,16.12,64.0,solar
23.26,4.57,14.86,43525.06,15097.74,31499.66,23.17,15.38,19.69,-19.0,solar
19.07,1.1,9.67,39906.36,6407.84,24374.76,31.9,18.12,24.51,27.0,solar
22.72,14.13,17.93,39211.37,20870.88,29829.95,13.44,7.68,10.61,28.0,solar
27.45,7.63,18.21,46800.0,26469.1,37052.07,22.44,15.27,19.25,28.0,solar
21.56,2.17,11.98,42453.6,9390.91,26576.66,35.08,20.59,26.1,77.0,solar
21.4,2.01,11.54,47119.69,8482.78,26216.03,34.12,18.35,24.93,53.0,solar
21.43,1.71,10.93,46210.28,8031.46,25510.32,35.63,18.51,26.04,27.0,solar
25.18,18.33,21.57,41263.36,33989.14,36938.37,27.71,18.65,23.07,15.0,solar
26.47,6.43,16.96,48077.61,23212.26,35425.4,24.84,13.81,19.04,88.0,solar
26.7,9.89,18.56,44429.81,25442.88,35210.34,14.99,9.55,12.35,14.0,solar
23.53,14.19,18.81,41338.84,16756.1,32557.59,17.71,11.19,14.31,205.0,solar
26.5,9.61,16.89,43855.5,25824.71,31627.07,13.32,5.27,9.55,923.0,solar
23.92,12.71,18.89,40528.81,12971.38,32365.44,32.3,15.27,19.82,455.0,solar
29.78,12.79,22.06,46516.74,31995.4,39406.96,16.06,11.16,13.86,110.0,solar
27.26,6.74,17.82,48098.38,22349.34,36532.38,24.8,14.0,20.45,30.0,solar
27.8,7.7,18.37,47877.88,24173.79,36479.92,21.38,9.81,15.16,616.0,solar
22.45,6.04,17.26,40418.85,0.0,30860.26,14.46,7.21,10.99,45.0,solar
23.7,4.24,14.47,46740.71,14298.62,30484.89,16.43,9.57,11.85,143.0,solar
28.21,7.2,17.83,46800.0,20697.5,33942.33,21.68,12.47,15.64,455.0,solar
20.84,2.25,11.56,45637.64,9440.88,26004.25,35.1,20.93,25.99,137.0,solar
21.46,1.63,11.26,41658.89,7781.69,24740.86,33.97,17.15,24.41,3.0,solar
26.53,6.49,17.06,47968.04,24037.32,35711.51,26.82,14.95,20.3,3.0,solar
18.92,1.43,9.88,35875.62,7465.89,22531.74,32.96,15.44,23.38,108.0,solar
25.94,6.04,16.57,47730.94,20037.17,34371.23,34.21,15.4,20.63,323.0,solar
24.85,9.7,18.9,42313.56,7029.5,33963.8,29.78,15.27,20.76,110.0,solar
23.25,2.07,11.9,48358.08,8831.1,26599.29,35.79,17.48,26.22,113.0,solar
22.35,16.02,18.89,41416.62,26689.22,34048.59,17.7,12.76,15.09,169.0,solar
21.39,2.06,11.64,44805.01,8182.37,25856.51,33.17,18.95,24.48,39.0,solar
28.43,7.94,18.43,47052.25,22766.7,35205.64,21.63,10.78,15.4,648.0,solar
24.84,15.69,20.24,42524.23,30091.93,36139.8,17.92,5.86,11.46,38.0,solar
21.92,2.43,11.87,47840.18,10613.06,27045.87,37.54,20.86,27.79,86.0,solar
29.28,11.7,21.4,46724.42,29476.44,38434.84,30.7,19.5,22.9,843.0,solar
26.39,4.97,15.78,49442.89,18415.72,33751.55,22.09,15.19,17.97,53.0,solar
23.09,2.27,13.79,49058.94,7819.64,30412.97,31.1,16.77,24.79,230.0,solar
28.95,6.86,18.84,47218.4,17668.38,36189.3,17.89,10.76,14.0,708.0,solar
22.54,2.16,11.82,49288.24,8720.91,26695.15,33.63,18.35,24.97,100.0,solar
21.46,1.9,11.2,46794.2,8787.03,25902.06,33.42,18.32,24.86,66.0,solar
21.15,1.77,11.5,45962.96,8058.01,26508.69,35.83,19.69,26.34,1.0,solar
22.89,2.32,12.17,48097.18,10259.43,27706.0,34.42,19.8,25.51,11.0,solar
21.44,1.95,11.45,47126.07,7913.63,26257.97,33.68,15.25,24.62,90.0,solar
21.48,2.2,11.73,44568.38,9567.39,26775.4,35.14,19.28,25.82,52.0,solar
25.94,14.89,20.06,41373.16,20737.33,34294.75,31.39,16.34,20.67,499.0,solar
25.81,4.92,15.44,46403.12,18497.61,32591.74,17.24,9.25,13.41,25.0,solar
23.93,10.94,18.69,41659.84,3046.68,31807.16,18.73,12.25,15.28,161.0,solar
20.62,1.82,10.77,43736.32,8221.25,24360.93,33.37,18.96,25.4,140.0,solar
22.39,1.94,12.11,49110.74,9559.62,27707.83,38.88,20.97,28.52,74.0,solar
21.99,1.96,11.94,49890.72,9490.9,27453.7,36.97,19.45,27.24,51.0,solar
22.59,2.16,12.1,47355.58,8397.66,27532.2,34.18,19.88,25.04,5.0,solar
28.75,18.76,24.11,42825.33,36476.83,39306.65,9.87,6.23,8.04,1250.0,solar
22.88,12.44,17.99,39423.03,29659.22,34418.95,23.98,10.09,15.6,107.0,solar
22.65,2.55,12.46,47601.51,11050.97,27246.39,40.33,22.54,29.92,189.0,solar
23.93,10.94,18.69,41659.84,3046.68,31807.16,18.73,12.25,15.28,161.0,solar
21.62,2.17,11.77,46543.08,8939.51,27164.41,32.16,18.79,23.92,10.0,solar
29.09,18.42,24.05,42299.76,36038.31,39036.67,7.19,5.96,6.55,1038.0,solar
24.49,14.16,19.4,40709.54,17574.0,33583.75,30.21,14.76,20.06,302.0,solar
24.89,12.06,19.75,40874.55,11054.06,33375.95,36.25,15.84,22.04,521.0,solar
20.68,1.85,11.14,44281.18,7463.25,25485.24,33.19,18.92,24.67,36.0,solar
28.37,7.13,18.17,47061.03,20636.89,34823.97,24.26,13.32,18.08,622.0,solar
21.43,1.9,11.59,46253.16,8248.53,26986.17,35.93,19.17,26.19,6.0,solar
21.99,2.52,11.93,43097.89,10907.23,26604.27,36.93,18.58,26.97,130.0,solar
23.49,12.51,18.68,41753.73,8648.08,32525.19,18.21,11.91,14.91,207.0,solar
26.41,6.63,17.1,48204.41,22234.39,36064.35,19.84,7.24,14.53,344.0,solar
19.58,1.37,10.24,41110.88,7350.5,24796.03,39.31,20.2,28.7,46.0,solar
28.88,8.1,18.82,47870.56,22957.83,36639.89,20.16,9.75,14.13,1305.0,solar
27.15,7.43,17.78,48237.94,24254.91,36621.56,25.4,17.07,22.09,341.0,solar
24.13,12.58,19.26,40826.04,12330.06,33243.94,25.11,14.31,17.35,352.0,solar
23.38,4.52,14.33,46945.72,15579.94,30495.8,13.76,9.86,11.49,136.0,solar
23.49,2.29,12.17,49364.88,10180.3,27569.18,35.46,20.16,26.18,49.0,solar
24.06,14.48,19.29,40429.1,25189.81,33546.74,19.72,9.05,15.65,3.0,solar
20.03,1.47,10.22,37068.9,7000.45,22623.02,35.33,17.58,25.32,67.0,solar
27.44,7.14,17.87,48390.6,21750.75,36710.44,32.42,15.08,23.17,348.0,solar
21.16,1.74,11.18,44019.3,8079.83,24965.64,36.1,20.73,26.36,50.0,solar
28.48,6.53,18.51,47005.87,16355.5,35652.14,24.56,8.69,13.57,500.0,solar
20.56,1.7,10.89,42150.02,7728.96,24527.15,35.24,18.39,25.46,25.0,solar
23.39,15.22,19.01,41270.24,22414.59,33183.2,18.94,12.65,15.14,168.0,solar
21.05,5.95,13.57,37873.37,17752.04,28122.68,25.0,8.29,19.28,27.0,solar
18.76,1.05,9.96,46052.06,7321.12,24148.65,31.25,12.34,23.8,208.0,solar
27.22,9.2,18.77,47059.54,26499.56,37392.03,16.59,9.34,11.54,481.0,solar
23.05,2.12,12.28,49795.13,8580.59,27524.84,37.75,21.02,27.55,29.0,solar
20.79,1.48,10.21,41991.78,6316.37,23199.78,34.42,17.71,24.43,136.0,solar
20.78,1.78,10.58,45434.2,8905.05,24436.27,31.53,16.88,22.57,19.0,solar
23.26,12.76,20.46,38069.28,14801.71,34378.78,29.95,14.61,20.63,326.0,solar
23.18,7.65,15.19,45602.56,18689.89,28495.0,19.79,7.47,15.79,101.0,solar
23.94,10.23,18.4,41304.79,5498.38,32237.87,21.43,13.67,17.81,212.0,solar
24.16,12.97,19.27,40616.34,13387.79,33079.84,25.05,14.93,17.34,341.0,solar
25.09,16.61,19.83,42210.13,27634.42,35324.93,13.06,6.2,10.33,46.0,solar
20.48,2.02,11.13,42953.75,8617.18,24876.67,36.96,20.64,27.63,128.0,solar
23.38,11.06,17.65,40825.48,24214.28,34428.29,17.6,10.08,14.23,227.0,solar
21.24,1.96,11.56,41409.83,8005.71,25193.93,34.02,14.68,24.75,70.0,solar
22.58,2.14,12.08,46483.58,10243.2,27845.74,36.57,18.58,26.46,42.0,solar
22.77,2.11,12.21,49186.69,8416.01,27478.94,38.5,20.85,27.82,5.0,solar
21.06,2.09,11.55,46562.86,9313.65,26843.14,34.26,16.96,24.75,11.0,solar
22.43,2.36,12.5,46800.0,10526.54,28903.5,37.05,16.91,26.73,9.0,solar
23.82,14.38,18.57,41153.18,16242.15,32359.84,20.35,9.98,14.4,5.0,solar
21.33,1.93,11.71,44770.84,7948.42,26932.83,35.72,18.25,25.99,27.0,solar
20.32,6.56,13.9,34074.06,21862.34,28036.17,29.55,17.45,22.68,36.0,solar
22.43,2.25,11.93,49581.37,9420.21,27381.1,35.32,20.55,26.21,130.0,solar
23.85,12.37,18.83,41198.35,13019.17,33155.96,28.94,15.83,20.03,510.0,solar
24.35,14.51,19.87,41014.0,25999.17,35281.44,21.95,13.35,17.35,28.0,solar
24.3,12.52,18.39,40648.53,9076.97,31747.81,20.95,12.31,16.02,30.0,solar
24.25,9.69,16.07,44404.73,23163.44,31134.23,30.68,7.41,22.16,47.0,solar
17.09,1.46,9.77,34364.5,7395.06,22450.17,32.49,19.86,25.4,84.0,solar
28.01,7.53,17.78,45991.19,22400.95,34145.63,25.47,16.43,19.72,234.0,solar
24.77,2.46,13.28,49970.86,10552.92,29370.71,40.79,21.89,29.59,46.0,solar
24.69,8.58,15.58,45371.66,22529.48,30330.89,19.53,8.19,15.33,230.0,solar
24.53,4.61,15.32,46348.1,15917.44,32803.87,22.61,12.25,17.28,88.0,solar
21.44,1.95,11.45,47126.07,7913.63,26257.97,33.68,15.25,24.62,80.0,solar
23.49,2.29,12.17,49364.88,10180.3,27569.18,35.46,20.16,26.18,54.0,solar
26.84,6.84,17.11,48492.43,20048.81,35490.08,9.19,6.98,7.92,681.0,solar
22.78,12.75,18.38,39869.62,12529.82,32463.25,30.02,13.79,18.27,601.0,solar
25.73,14.07,20.61,43054.09,30694.32,37417.96,31.95,17.83,25.11,1.0,solar
22.89,2.32,12.17,48097.18,10259.43,27706.0,34.42,19.8,25.51,12.0,solar
23.97,12.61,18.9,40499.86,11989.43,32110.09,32.38,15.36,19.91,504.0,solar
23.76,12.8,18.27,40569.15,11634.36,31555.69,19.45,11.46,16.12,3.0,solar
28.61,7.37,18.5,47358.51,21388.2,35550.29,23.46,13.78,18.08,647.0,solar
28.05,7.06,18.01,46800.0,20825.63,34893.61,22.27,13.05,16.75,241.0,solar
27.24,9.05,18.75,47273.35,24440.47,37049.49,21.6,12.47,14.84,147.0,solar
22.13,1.76,11.22,45796.34,8127.69,25411.88,37.77,19.48,26.89,29.0,solar
21.68,2.13,11.83,49692.62,10062.63,27848.97,36.27,18.04,26.39,49.0,solar
21.84,2.31,12.13,46842.44,10852.04,28580.85,36.79,16.81,26.46,18.0,solar
22.56,2.21,12.38,46800.0,10036.8,28301.69,39.69,20.4,28.76,12.0,solar
24.56,8.18,15.36,45393.21,21255.87,29391.34,16.78,4.73,11.85,265.0,solar
20.83,1.46,10.51,42336.92,7736.7,24790.37,34.66,19.37,26.15,40.0,solar
28.86,11.7,20.81,45199.96,29896.5,37969.21,23.45,16.38,19.81,1442.0,solar
28.06,7.02,17.87,46800.0,20135.34,34198.29,20.57,10.83,14.9,296.0,solar
23.05,8.26,15.46,46122.98,20270.89,29064.64,19.61,9.54,15.15,2.0,solar
27.8,8.62,18.93,47889.01,26501.32,37578.42,22.63,11.56,17.77,161.0,solar
21.62,2.17,11.77,46543.08,8939.51,27164.41,32.16,18.79,23.92,32.0,solar
25.37,9.1,16.1,46114.88,20978.74,30265.45,20.61,12.66,17.78,369.0,solar
23.96,14.71,18.7,41087.83,16244.66,32906.35,21.36,10.09,15.06,8.0,solar
21.2,2.22,11.44,43857.46,9045.89,24709.14,38.28,20.91,27.26,158.0,solar
22.9,2.37,12.75,48028.46,10507.29,28515.58,42.95,22.06,30.74,0.0,solar
25.86,6.38,16.08,48868.28,21024.6,35092.68,20.83,8.29,14.63,212.0,solar
21.19,1.75,11.59,43481.0,8736.47,26583.04,37.65,21.23,27.74,4.0,solar
23.12,2.1,11.89,48568.22,8941.32,26855.25,34.6,16.87,25.59,121.0,solar
25.18,9.46,16.39,44590.31,24446.14,31352.69,35.14,9.66,25.44,2.0,solar
23.31,11.14,18.52,40605.94,13692.36,32938.95,27.99,16.03,19.42,526.0,solar
25.86,6.38,16.08,48868.28,21024.6,35092.68,20.83,8.29,14.63,157.0,solar
20.12,1.91,11.14,40594.61,8590.69,25602.99,33.95,17.47,24.86,53.0,solar
21.3,1.78,11.0,46321.11,8258.91,25369.76,36.32,18.72,26.91,156.0,solar
23.78,14.05,18.44,40797.29,15983.96,32205.31,18.8,11.09,15.0,4.0,solar
22.11,2.01,11.58,42735.8,8894.4,25909.65,38.9,22.07,28.64,189.0,solar
21.75,2.14,11.69,47511.4,8487.72,26645.16,34.16,20.34,25.57,157.0,solar
27.22,6.71,17.7,48351.3,22705.33,36604.7,25.17,16.74,21.64,46.0,solar
21.2,1.74,10.76,45240.16,8736.78,24845.83,34.15,15.47,23.81,4.0,solar
20.88,1.71,10.93,44053.74,7676.54,25002.93,35.79,18.36,25.61,11.0,solar
22.8,13.35,18.43,39183.35,11948.01,32407.59,27.99,12.83,17.6,564.0,solar
28.11,8.11,18.42,46738.24,23608.82,35775.43,20.03,9.39,13.76,146.0,solar
22.85,12.31,18.12,39376.84,28749.13,34607.05,19.86,8.62,14.51,128.0,solar
21.94,6.44,17.27,40233.83,0.0,31346.85,16.46,5.33,10.62,157.0,solar
