index,latitude,longitude,primary_fuel
6846,42.1333,110.2325,Wind
28537,40.0667,-85.0133,Wind
6761,41.11,112.35,Wind
7118,41.22,112.7,Wind
301,-38.7833,-61.8984,Wind
6306,39.5835,114.5339,Wind
405,-38.3976,141.6209,Wind
403,-38.412,141.543,Wind
7063,44.13,122.02,Wind
7122,45.4188,119.3857,Wind
6767,49.1917,120.1667,Wind
6759,41.05,112.66,Wind
6758,24.7,108.33,Wind
6757,43.5623,116.3,Wind
289,-46.8065,-67.9808,Wind
34415,33.733,-97.4284,Wind
34417,43.5811,-95.7758,Wind
406,-35.166,149.5186,Wind
28562,35.0908,-118.3936,Wind
28561,35.0925,-118.3952,Wind
7108,32.82,120.89,Wind
285,-43.3522,-65.1734,Wind
6769,25.4422,112.7019,Wind
6849,49.5092,117.5406,Wind
34609,-33.6348,-56.7214,Wind
6847,41.4536,113.1894,Wind
28424,43.0528,-93.63,Wind
34420,41.3931,-94.4447,Wind
28426,44.7608,-68.1469,Wind
6756,43.49,115.96,Wind
34421,43.4195,-111.8294,Wind
6848,41.0586,112.6588,Wind
7123,44.9987,121.6119,Wind
7124,43.47,115.77,Wind
34613,-33.2672,-55.1021,Wind
27799,45.6447,-119.4533,Wind
27798,45.7286,-119.4181,Wind
28516,42.9489,-92.0622,Wind
27794,40.1111,-122.1939,Wind
27793,38.42,-121.8181,Wind
28515,43.0472,-93.4775,Wind
27792,36.2745,-121.1916,Wind
27803,39.6411,-79.0111,Wind
6304,40.8299,115.3624,Wind
27790,37.7142,-121.5217,Wind
27789,33.9172,-116.815,Wind
27788,33.9142,-116.7492,Wind
27787,36.504,-121.454,Wind
6303,42.267,117.917,Wind
28512,20.2573,-155.8504,Wind
27786,34.0847,-117.5294,Wind
27791,36.474,-121.371,Wind
6850,46.2961,122.4294,Wind
27805,40.6206,-87.3781,Wind
28520,45.52,-120.5744,Wind
6845,42.6036,117.6458,Wind
6305,39.7717,114.8339,Wind
6844,42.7405,118.4533,Wind
6776,29.05,112.89,Wind
6843,43.5584,118.7946,Wind
29220,21.6103,-158.0408,Wind
28439,41.1397,-104.9978,Wind
27806,40.5839,-87.3336,Wind
6842,42.5986,117.675,Wind
27826,42.6067,-93.3365,Wind
28444,27.8322,-97.4403,Wind
6783,25.3736,112.4844,Wind
29225,36.9842,-97.1336,Wind
28450,42.0822,-94.365,Wind
27810,44.0942,-68.8658,Wind
34685,9.2351,105.8048,Wind
28441,43.2273,-77.3641,Wind
7062,45.6167,122.8167,Wind
7043,45.53,120.22,Wind
7060,45.3995,120.3475,Wind
6564,37.2103,119.0983,Wind
6890,40.11,107.21,Wind
6567,37.093,119.5178,Wind
6569,25.4431,100.3533,Wind
28161,46.4119,-110.3378,Wind
6572,46.195,124.2856,Wind
28159,32.8751,-101.209,Wind
6573,46.2583,124.4744,Wind
6574,46.1989,124.4175,Wind
34573,-34.4647,-55.3065,Wind
6575,46.2744,124.54,Wind
28993,37.8183,-99.7754,Wind
6579,26.1033,100.1083,Wind
6580,39.3442,113.6438,Wind
6581,42.3605,121.4537,Wind
6582,42.1007,121.0811,Wind
6583,42.78,122.52,Wind
6558,36.9408,106.6656,Wind
6892,41.9633,108.2617,Wind
6893,41.2939,106.4002,Wind
28168,43.4671,-111.8364,Wind
6954,29.2533,116.1589,Wind
6959,29.5261,116.0864,Wind
34568,-33.8763,-56.3505,Wind
28974,42.5539,-95.3283,Wind
28978,43.0347,-94.1406,Wind
28980,43.3853,-94.8157,Wind
28981,43.445,-94.9803,Wind
34569,-33.8855,-56.4428,Wind
6584,42.7631,122.5183,Wind
6970,29.4911,116.0711,Wind
28177,34.7341,-103.0922,Wind
6896,42.3917,112.7778,Wind
34570,-34.6323,-56.5932,Wind
34571,-32.5828,-54.2302,Wind
28984,42.7164,-70.8419,Wind
28297,41.29,-94.485,Wind
28298,47.723,-111.963,Wind
28304,37.5499,-99.3444,Wind
28983,42.7172,-70.8464,Wind
28197,43.7189,-92.705,Wind
6889,42.73,117.95,Wind
29001,42.3333,-92.9464,Wind
6884,41.6778,109.9572,Wind
28141,38.935,-104.212,Wind
28140,42.4368,-113.9255,Wind
34580,-34.3499,-57.5554,Wind
34581,-34.395,-54.6951,Wind
6386,41.8701,113.9566,Wind
34582,-34.4028,-54.6783,Wind
6620,40.8633,122.0386,Wind
6883,41.5111,106.7055,Wind
34583,-34.0959,-56.1026,Wind
28331,43.7681,-71.8189,Wind
34584,-34.1172,-56.0892,Wind
6882,45.3802,121.8709,Wind
6373,34.7728,111.4175,Wind
6368,33.4293,113.2163,Wind
6362,38.1943,105.7755,Wind
6881,45.405,119.6383,Wind
489,-34.6977,149.3861,Wind
34579,-33.6516,-53.5755,Wind
34578,-32.2467,-56.215,Wind
6607,37.32,119.8872,Wind
6888,41.1839,110.9522,Wind
28149,45.7818,-120.5212,Wind
28145,31.3833,-98.4667,Wind
492,-33.3855,138.7928,Wind
6887,42.7556,118.0336,Wind
6886,42.2097,118.0072,Wind
6392,42.76,117.7,Wind
29031,44.4233,-96.4411,Wind
28151,36.5414,-101.5656,Wind
140,-45.8467,-67.4964,Wind
34541,42.8869,-76.9683,Wind
34535,41.0961,-83.6414,Wind
6590,23.45,117.1,Wind
6597,49.561,117.5809,Wind
6598,41.1487,110.8354,Wind
34577,-34.2862,-54.04,Wind
6604,41.619,114.842,Wind
6605,44.8161,121.9933,Wind
6885,42.45,117.8167,Wind
6880,45.4417,119.7833,Wind
6897,40.07,107.31,Wind
6947,32.3508,121.3372,Wind
6477,25.4193,119.2791,Wind
6495,43.456,123.393,Wind
6474,45.2956,123.4108,Wind
6497,43.8,120.9417,Wind
6473,45.2667,123.4167,Wind
6498,43.8,120.95,Wind
28263,43.5861,-95.7803,Wind
34559,-34.2042,-55.748,Wind
6927,32.66,120.903,Wind
6467,41.8556,113.9422,Wind
6500,41.7181,112.6019,Wind
6501,37.1778,119.8067,Wind
6507,36.4139,105.5506,Wind
6466,46.56,130.555,Wind
6509,37.8169,106.7003,Wind
6465,47.0053,130.9842,Wind
6461,37.12,119.64,Wind
6493,42.8587,120.9167,Wind
28259,36.1665,-99.596,Wind
6926,32.35,121.37,Wind
6925,33.1194,120.83,Wind
28257,36.4964,-101.3917,Wind
6488,39.6203,114.6506,Wind
6487,41.5392,115.5719,Wind
6483,36.661,105.628,Wind
6491,41.45,109.7333,Wind
34551,-33.8289,-56.5739,Wind
34554,-32.5701,-56.444,Wind
34549,-34.6481,-54.9661,Wind
495,-33.5226,138.8552,Wind
6492,44.1542,117.1263,Wind
6482,36.2012,105.6177,Wind
28868,32.4969,-100.5797,Wind
28242,37.6133,-100.3782,Wind
6923,32.51,121.18,Wind
28239,43.4339,-84.4975,Wind
28238,43.4081,-84.4622,Wind
6481,41.5608,115.6369,Wind
28855,42.3269,-95.4588,Wind
28856,42.3557,-95.4204,Wind
6949,33.947,119.497,Wind
34563,-30.409,-56.6401,Wind
6510,37.7725,106.5514,Wind
6928,32.47,120.54,Wind
28291,44.0208,-96.4331,Wind
6534,20.467,110.225,Wind
6537,27.217,100.933,Wind
6930,32.3282,121.4062,Wind
6898,41.1056,112.6403,Wind
6933,34.5138,119.6685,Wind
6538,23.42,103.48,Wind
6540,30.1255,122.0179,Wind
6943,31.7675,121.9094,Wind
28211,35.2383,-101.3108,Wind
28209,42.6081,-98.4283,Wind
6944,31.8333,121.85,Wind
92,-77.8428,166.7271,Wind
6945,32.3347,121.4533,Wind
6946,32.4981,121.2486,Wind
28202,41.2269,-88.6836,Wind
6533,20.5532,110.4632,Wind
28222,44.7044,-71.2925,Wind
28287,41.6203,-89.557,Wind
28226,45.8033,-95.8844,Wind
6511,37.8858,106.6336,Wind
6512,37.8536,106.6141,Wind
6520,42.375,123.874,Wind
28272,41.373,-94.754,Wind
28227,36.9708,-97.7053,Wind
34567,-33.8663,-56.3405,Wind
6435,42.56,117.74,Wind
34548,-34.6269,-54.9575,Wind
28229,36.9271,-97.6963,Wind
494,-33.3397,138.7323,Wind
6528,43.55,87.95,Wind
6899,41.0661,112.6367,Wind
28282,33.6282,-99.4112,Wind
6529,42.5703,95.2394,Wind
28283,33.646,-99.5329,Wind
28286,33.9014,-116.7167,Wind
6427,39.0778,102.0782,Wind
6530,43.31,91.7,Wind
6525,41.6692,112.6248,Wind
28137,35.2436,-102.21,Wind
34585,-33.0857,-55.1711,Wind
28136,37.7133,-121.6404,Wind
28381,32.7683,-99.4228,Wind
7042,45.903,122.4235,Wind
6651,47.9361,132.8886,Wind
28718,46.4211,-117.8331,Wind
34382,43.3847,-93.2214,Wind
6652,47.9611,132.8606,Wind
6331,50.1989,126.4789,Wind
6653,44.0386,122.5711,Wind
6329,44.9168,129.0405,Wind
6654,43.2339,122.2575,Wind
6328,47.0465,129.1703,Wind
28709,44.2275,-96.2192,Wind
28705,40.7178,-87.2631,Wind
28704,40.3997,-87.7992,Wind
